run_id,status,C1_F,C2_F,raw_file,log_file,plot_file,manual_behavior_label,manual_notes
32,ok,1.2e-08,1.2e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0032.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0032.log,plots\c1c2_0032.png,,
33,ok,1.2e-08,1.6e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0033.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0033.log,plots\c1c2_0033.png,,
34,ok,1.2e-08,2e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0034.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0034.log,plots\c1c2_0034.png,,
35,ok,1.6e-08,1e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0035.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0035.log,plots\c1c2_0035.png,,
36,ok,1.6e-08,2e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0036.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0036.log,plots\c1c2_0036.png,,
37,ok,1.6e-08,4e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0037.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0037.log,plots\c1c2_0037.png,,
38,ok,1.6e-08,8e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0038.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0038.log,plots\c1c2_0038.png,,
39,ok,1.6e-08,1.2e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0039.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0039.log,plots\c1c2_0039.png,,
40,ok,1.6e-08,1.6e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0040.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0040.log,plots\c1c2_0040.png,,
41,ok,1.6e-08,2e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0041.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0041.log,plots\c1c2_0041.png,,
42,ok,2e-08,1e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0042.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0042.log,plots\c1c2_0042.png,,
43,ok,2e-08,2e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0043.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0043.log,plots\c1c2_0043.png,,
44,ok,2e-08,4e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0044.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0044.log,plots\c1c2_0044.png,,
45,ok,2e-08,8e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0045.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0045.log,plots\c1c2_0045.png,,
46,ok,2e-08,1.2e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0046.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0046.log,plots\c1c2_0046.png,,
47,ok,2e-08,1.6e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0047.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0047.log,plots\c1c2_0047.png,,
48,ok,2e-08,2e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0048.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_abs_rel_ref\raw_runs\c1c2_0048.log,plots\c1c2_0048.png,,
