sweep_name,component,swept_value,coupled_negative_component,coupled_negative_value,run_id,status,raw_file,log_file,plot_file,manual_behavior_label,manual_notes,error
RL1_single,R1,9300.0,,,86,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0086.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0086.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0086.png,,,
RL1_single,R1,9350.0,,,87,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0087.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0087.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0087.png,,,
RL1_single,R1,9400.0,,,88,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0088.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0088.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0088.png,,,
RL1_single,R1,9450.0,,,89,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0089.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0089.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0089.png,,,
RL1_single,R1,9500.0,,,90,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0090.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0090.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0090.png,,,
RL1_single,R1,9550.0,,,91,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0091.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0091.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0091.png,,,
RL1_single,R1,9600.0,,,92,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0092.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0092.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0092.png,,,
RL1_single,R1,9650.0,,,93,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0093.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0093.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0093.png,,,
RL1_single,R1,9700.0,,,94,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0094.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0094.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0094.png,,,
RL1_single,R1,9750.0,,,95,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0095.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0095.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0095.png,,,
RL1_single,R1,9800.0,,,96,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0096.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0096.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0096.png,,,
RL1_single,R1,9850.0,,,97,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0097.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0097.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0097.png,,,
RL1_single,R1,9900.0,,,98,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0098.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0098.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0098.png,,,
RL1_single,R1,9950.0,,,99,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0099.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0099.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0099.png,,,
RL1_single,R1,10000.0,,,100,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0100.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0100.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0100.png,,,
