run_id,status,C1_F,C2_F,raw_file,log_file,plot_file,manual_behavior_label,manual_notes
0,ok,1e-09,1e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_quicktest\raw_runs\c1c2_0000.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_quicktest\raw_runs\c1c2_0000.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_quicktest\plots\c1c2_0000.png,,
1,ok,1e-09,4e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_quicktest\raw_runs\c1c2_0001.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_quicktest\raw_runs\c1c2_0001.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_quicktest\plots\c1c2_0001.png,,
2,ok,4e-09,1e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_quicktest\raw_runs\c1c2_0002.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_quicktest\raw_runs\c1c2_0002.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_quicktest\plots\c1c2_0002.png,,
3,ok,4e-09,4e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_quicktest\raw_runs\c1c2_0003.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_quicktest\raw_runs\c1c2_0003.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_c1_c2_quicktest\plots\c1c2_0003.png,,
