RL1,RL2,C1,C2,ENa,EK,run_id,status,raw_file,log_file
5208.376644849449,7060.15487014115,3.304071820231489e-08,9.72099472572474e-09,-1.4624728653776662,1.5372932724539434,0,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results\raw_runs\run_0000.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results\raw_runs\run_0000.log
6178.7988364962475,4342.665682813,9.05315754739305e-09,9.261891574767522e-10,-1.2973913083873831,1.2970330884633485,1,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results\raw_runs\run_0001.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results\raw_runs\run_0001.log
4007.1573925470175,5993.971602993585,1.0058697645243495e-09,2.28456864825579e-09,-1.4560726610734758,1.314714368593522,2,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results\raw_runs\run_0002.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results\raw_runs\run_0002.log
5373.804023146691,4698.981292442575,1.1249808319171977e-08,5.0785410166815236e-09,-1.290683174877873,1.4984425570889428,3,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results\raw_runs\run_0003.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results\raw_runs\run_0003.log
5437.872791639185,4642.527562987818,3.979421911871967e-09,7.199006769850301e-10,-1.181278187761544,1.4045262182026241,4,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results\raw_runs\run_0004.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results\raw_runs\run_0004.log
6995.535817052667,7418.286752779,1.897448018249999e-08,9.89033520591577e-10,-1.1686371472533805,1.5167662902910712,5,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results\raw_runs\run_0005.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results\raw_runs\run_0005.log
5344.268387067399,5610.321134003141,4.922638918315583e-08,2.6154066775692775e-09,-1.3873858380146127,1.5313288943567251,6,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results\raw_runs\run_0006.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results\raw_runs\run_0006.log
4287.094127672922,6170.814238578307,1.2079871904575095e-08,7.658092079776989e-09,-1.1110325286601608,1.5604443180757324,7,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results\raw_runs\run_0007.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results\raw_runs\run_0007.log
5171.999660149806,8231.103487047641,1.7942585832014508e-08,7.33063279602031e-09,-1.2455968121438505,1.2218270876198254,8,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results\raw_runs\run_0008.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results\raw_runs\run_0008.log
5949.249626334338,7471.761735370332,1.8288374668839326e-08,6.408165729605757e-10,-1.131460609535063,1.4322098250699942,9,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results\raw_runs\run_0009.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results\raw_runs\run_0009.log
