sweep_name,component,swept_value,run_id,status,raw_file,log_file,plot_file,manual_behavior_label,manual_notes
ENa,V1,-2.5,0,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\raw_runs\ENa_0000.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\raw_runs\ENa_0000.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\plots\ENa_0000.png,,
ENa,V1,-2.25,1,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\raw_runs\ENa_0001.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\raw_runs\ENa_0001.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\plots\ENa_0001.png,,
ENa,V1,-2.0,2,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\raw_runs\ENa_0002.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\raw_runs\ENa_0002.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\plots\ENa_0002.png,,
ENa,V1,-1.75,3,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\raw_runs\ENa_0003.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\raw_runs\ENa_0003.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\plots\ENa_0003.png,,
ENa,V1,-1.5,4,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\raw_runs\ENa_0004.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\raw_runs\ENa_0004.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\plots\ENa_0004.png,,
ENa,V1,-1.25,5,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\raw_runs\ENa_0005.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\raw_runs\ENa_0005.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\plots\ENa_0005.png,,
ENa,V1,-1.0,6,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\raw_runs\ENa_0006.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\raw_runs\ENa_0006.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\plots\ENa_0006.png,,
ENa,V1,-0.75,7,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\raw_runs\ENa_0007.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\raw_runs\ENa_0007.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\plots\ENa_0007.png,,
ENa,V1,-0.5,8,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\raw_runs\ENa_0008.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\raw_runs\ENa_0008.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\05_ENa\plots\ENa_0008.png,,
