sweep_name,component,swept_value,coupled_negative_component,coupled_negative_value,run_id,status,raw_file,log_file,plot_file,manual_behavior_label,manual_notes
Re1,Re1,150.0,,,0,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0000.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0000.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\plots\Re1_0000.png,,
Re1,Re1,160.0,,,1,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0001.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0001.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\plots\Re1_0001.png,,
Re1,Re1,170.0,,,2,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0002.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0002.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\plots\Re1_0002.png,,
Re1,Re1,180.0,,,3,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0003.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0003.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\plots\Re1_0003.png,,
Re1,Re1,190.0,,,4,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0004.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0004.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\plots\Re1_0004.png,,
Re1,Re1,200.0,,,5,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0005.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0005.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\plots\Re1_0005.png,,
Re1,Re1,210.0,,,6,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0006.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0006.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\plots\Re1_0006.png,,
Re1,Re1,220.0,,,7,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0007.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0007.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\plots\Re1_0007.png,,
Re1,Re1,230.0,,,8,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0008.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0008.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\plots\Re1_0008.png,,
Re1,Re1,240.0,,,9,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0009.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0009.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\plots\Re1_0009.png,,
Re1,Re1,250.0,,,10,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0010.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0010.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\plots\Re1_0010.png,,
Re1,Re1,260.0,,,11,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0011.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\raw_runs\Re1_0011.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_one_by_one\06_Re1\plots\Re1_0011.png,,
